"GAME_ID","PLAYER","SHOT_TYPE","DATE_TIME"
"RR1","RICHO","MISS","2019-03-15 23:44:03"
"RR1","KAPPAZ","HIT","2019-03-15 23:44:08"
"RR1","NAKHLA","MISS","2019-03-15 23:44:27"
"RR1","GARTER","MISS","2019-03-15 23:44:31"
"RR1","RICHO","TRICKSHOT MISS","2019-03-15 23:44:37"
"RR1","RICHO","HIT","2019-03-15 23:44:43"
"RR1","KAPPAZ","BALLS BACK","2019-03-15 23:44:50"
"RR1","RICHO","MISS","2019-03-15 23:45:07"
"RR1","RICHO","TRICKSHOT MISS","2019-03-15 23:45:15"
"RR1","KAPPAZ","MISS","2019-03-15 23:45:20"
"RR1","NAKHLA","HIT","2019-03-15 23:45:27"
"RR1","GARTER","OVERTHROW","2019-03-15 23:45:40"
"RR1","RICHO","HIT","2019-03-15 23:45:54"
"RR1","KAPPAZ","BALLS BACK","2019-03-15 23:46:06"
"RR1","RICHO","MISS","2019-03-15 23:46:39"
"RR1","RICHO","TRICKSHOT MISS","2019-03-15 23:46:45"
"RR1","KAPPAZ","MISS","2019-03-15 23:46:51"
"RR1","NAKHLA","MISS","2019-03-15 23:46:58"
"RR1","NAKHLA","TRICKSHOT MISS","2019-03-15 23:47:13"
"RR1","GARTER","MISS","2019-03-15 23:47:19"
"RR1","RICHO","TRICKSHOT MISS","2019-03-15 23:47:24"
"RR1","RICHO","HIT","2019-03-15 23:47:28"
"RR1","KAPPAZ","MISS","2019-03-15 23:47:32"
"RR1","NAKHLA","MISS","2019-03-15 23:47:46"
"RR1","GARTER","MISS","2019-03-15 23:48:00"
"RR1","RICHO","HIT","2019-03-15 23:48:10"
"RR1","KAPPAZ","TRICKSHOT MISS","2019-03-15 23:48:24"
"RR1","GARTER","OVERTHROW","2019-03-15 23:48:40"
"RR1","NAKHLA","MISS","2019-03-15 23:48:48"
"RR1","RICHO","MISS","2019-03-15 23:48:52"
"RR1","KAPPAZ","MISS","2019-03-15 23:48:59"
"RR1","NAKHLA","TRICKSHOT MISS","2019-03-15 23:49:07"
"RR1","NAKHLA","HIT","2019-03-15 23:49:18"
"RR1","GARTER","MISS","2019-03-15 23:49:30"
"RR1","KAPPAZ","TRICKSHOT MISS","2019-03-15 23:49:34"
"RR1","RICHO","MISS","2019-03-15 23:49:45"
"RR1","KAPPAZ","MISS","2019-03-15 23:49:50"
"RR1","KAPPAZ","TRICKSHOT MISS","2019-03-15 23:49:53"
"RR1","GARTER","MISS","2019-03-15 23:49:58"
"RR1","NAKHLA","TRICKSHOT MISS","2019-03-15 23:50:07"
"RR1","NAKHLA","MISS","2019-03-15 23:50:15"
"RR1","NAKHLA","TRICKSHOT MISS","2019-03-15 23:50:23"
"RR1","RICHO","MISS","2019-03-15 23:50:35"
"RR1","KAPPAZ","MISS","2019-03-15 23:50:42"
"RR1","GARTER","HIT","2019-03-15 23:50:51"
"RR1","NAKHLA","MISS","2019-03-15 23:50:56"
"RR1","RICHO","MISS","2019-03-15 23:51:03"
"RR1","KAPPAZ","MISS","2019-03-15 23:51:18"
"RR1","GARTER","MISS","2019-03-15 23:51:36"
"RR1","NAKHLA","MISS","2019-03-15 23:51:46"
"RR1","RICHO","MISS","2019-03-15 23:51:49"
"RR1","KAPPAZ","MISS","2019-03-15 23:51:54"
"RR1","GARTER","MISS","2019-03-15 23:52:03"
"RR1","NAKHLA","MISS","2019-03-15 23:52:07"
"RR1","RICHO","MISS","2019-03-15 23:52:30"
"RR1","KAPPAZ","MISS","2019-03-15 23:52:35"
"RR1","GARTER","HIT","2019-03-15 23:52:44"
"RR1","NAKHLA","SAME CUP","2019-03-15 23:52:50"
"RR1","GARTER","MISS","2019-03-15 23:53:22"
"RR1","NAKHLA","MISS","2019-03-15 23:53:27"
"RR1","RICHO","MISS","2019-03-15 23:53:34"
"RR1","KAPPAZ","MISS","2019-03-15 23:53:38"
"RR1","GARTER","MISS","2019-03-15 23:53:45"
"RR1","NAKHLA","HIT","2019-03-15 23:53:48"
