GAME,TEAM,PLAYER,HITS,THROWS,OVERTHROWS,CLUTCH,T_HITS,T_THROWS,WINNER,PCNT,FANTASY,PLAYERS,CUPS_FOR,CUPS_AGAINST,CARRIER,DRY_SPELL
RR1,Lord of the Rims,NAHKLA,5,16,1,0,0,1,0,31.2,91,2,10,4,50,7
RR1,Stevo's Bet Slip,PMAC,1,15,0,0,0,1,0,6.7,18,2,4,10,25,10
RR1,Lord of the Rims,RICHO,5,19,0,2,2,5,1,26.3,135,2,10,4,50,8
RR1,Stevo's Bet Slip,SPOON,2,15,0,0,0,5,0,13.3,36,2,4,10,50,8
RR2,The Dancing Bears,GARTER,2,33,2,0,1,5,0,6.1,29,2,8,10,25,21
RR2,B2B Specialists,KAPPAZ,7,33,0,1,0,5,1,21.2,136,2,10,8,70,8
RR2,The Dancing Bears,LESTER,3,32,1,0,0,4,0,9.4,37,2,8,10,37.5,22
RR2,B2B Specialists,MELONS,0,32,3,0,0,2,0,0,0,2,10,8,0,32
RR3,B2B Specialists,KAPPAZ,9,18,1,0,1,5,0,50,141,2,9,10,100,5
RR3,B2B Specialists,MELONS,0,17,2,0,0,1,0,0,0,2,9,10,0,17
RR3,Lord of the Rims,NAHKLA,5,16,0,0,0,3,0,31.2,73,2,10,9,50,6
RR3,Lord of the Rims,RICHO,2,17,0,1,0,3,1,11.8,40,2,10,9,20,14
RR4,The Dancing Bears,GARTER,2,29,2,1,1,5,0,6.9,24,2,9,10,22.2,23
RR4,The Dancing Bears,LESTER,5,26,0,0,0,1,0,19.2,78,2,9,10,55.6,11
RR4,Stevo's Bet Slip,PMAC,6,27,2,1,0,3,1,22.2,78,2,10,9,60,15
RR4,Stevo's Bet Slip,SPOON,2,29,0,0,1,5,0,6.9,42,2,10,9,20,14
RR5,The Dancing Bears,GARTER,3,23,0,1,0,3,0,13,67,2,8,10,37.5,13
RR5,The Dancing Bears,LESTER,3,23,1,0,0,1,0,13,43,2,8,10,37.5,10
RR5,Lord of the Rims,NAHKLA,3,22,1,0,0,3,0,13.6,39,2,10,8,30,10
RR5,Lord of the Rims,RICHO,6,22,0,1,0,3,1,27.3,110,2,10,8,60,9
RR6,B2B Specialists,KAPPAZ,3,20,0,0,1,2,0,15,64,2,5,9,60,13
RR6,B2B Specialists,MELONS,2,19,1,0,0,3,0,10.5,23,2,5,9,40,13
RR6,Stevo's Bet Slip,PMAC,5,23,0,1,0,1,1,21.7,103,2,10,5,50,11
RR6,Stevo's Bet Slip,SPOON,4,22,0,2,0,8,0,18.2,84,2,10,5,40,7
RR7,B2B Specialists,KAPPAZ,5,18,1,1,0,6,1,27.8,73,2,10,9,50,6
